沉默之星	http://103.88.34.177:51368	独家[首战一区]	1768905000	全靠打	我本沉默-1.76-1.85-散人玩家天堂　-推荐	公益传奇
█▅▃▁全屏切割	http://jza-dlm-1118.ww999.top:51908	无限刀 ▁▃▅█	1768905000	█零充耐玩微变█	█▁０充进全图乜首曝奖乜一切靠打乜长期耐-推荐	沙奖９９９９
﹌﹌新月度区﹌	http://www.cq2011.com	﹌﹌第一天﹌﹌	1768905000	﹌﹌第一天﹌﹌	﹌﹌人多﹌﹌﹌保值﹌﹌﹌送﹌赞﹌助﹌﹌﹌-推荐	1021183268群
█８０盛天合击█	https://61.164.174.126:10120	█全网独家首区█	1768905000	█新区●首战█	████合击███爽███全靠打████-推荐	█2026新版█
メ「白漂」迷失メ	http://103.19.232.140:57383	※「免费」神器※	1768905000	首爆奖上万充	▃▃▃▃▃▃▃▃第　１　区▃▃▃▃▃▃▃-推荐	０茺全满通关
﹌﹌凯旋沉默﹌﹌	http://43.240.158.225:6767/	﹌﹌绝版首区﹌﹌	1768905000	﹌打怪爆一切﹌	﹌﹌纯散人服＼＼一＼＼切＼＼靠＼＼打﹌﹌-推荐	一根毛都靠打
１７６纯金币	http://43.138.85.153:8899/	面巾触发绿毒	1768905000	免费挂机	攻5死神,攻8力量,37裁决,屠龙终极,极品+6-推荐	纯金币怀旧服
星月沉默	http://www.xycm5888.top:12288	真实一区	1768905000	一区	〔　　　复古丶一区丶怀旧丶沉默丶　　　〕-推荐	一区
战马沉默	http://www.25hf.xyz:9536	0元通关当爷爷	1768905000	沉默专属	〔全靠打〕〔打全满〕〔无暗坑〕〔福利多〕-推荐	永久回收保值
疯狂推土机	http://103.192.210.71:9628	第━１━区	1768905000	第━１━区	--　　　独家１区　　　一切靠打　　　--推荐	第━１━区
▓马年唐门专属▓	http://www.laojiu6.top:1618/yjtm	官网茺植百倍	1768905000	注册就送1000	茺植可百分百回收-推荐	神器剧情沉默
█８０金马合击█	http://www.jmhj180.top	█高爆星王＋１█	1768905000	██首战首区██	█等级免费█免费挂机█自动拾取█自动回收-推荐	█金币合击█
攻速神器つ单职业	http://45.113.202.128:99/	纯元宝つ中变①区	1768905000	沙奖保底８８８	０充满赞つ０充终极つ０充进图つ０充抢紅包-推荐	免费捡物吸怪
█８０三国合击█	http://pytz.wadgy.cn:1396	独家█金币合击█	1768905000	█30全满█	元宝装备保值█一切靠打█沙奖红苞-推荐	教主爆一切
凡尘神话◆高爆版	http://43.248.140.132:666/	◆船新首区◆	1768905000	◆沙奖鸿包◆	◆零门槛◆不花哨◆全靠打◆人人追梦◆-推荐	专属沉默神器
１７６复古老传奇	https://103.192.209.135:15111	极品╋３好服难找	1768905000	极品靠打散人天堂	█触发地图█免费挂机█复古公益养老服█-推荐	█首站首区█
新山海经◆追梦篇	http://www.shanhai322.top:3222/	〝新52季＂专属〞	1768905000	叁仟专属◆高爆	◆超多专属◆独特BUFF◆多倍充值◆千张-推荐	★散人首选★
最牛批的／神器	http://iuoiuyrtewrew.456.icu:63709/	散人◆打顶赞	1768905000	低消高爆	—你绝对没有爽过的“盲盒神器”—-推荐	元宝唯一货币
长情	http://103.88.33.200:1471/	沉默	1768905000	〔　攻速复古　〕	┃　　　　一个会员通关　　　　┃-推荐	专属攻速神器
无爱圣地	http://110.42.4.142:8877/	微变	1768905000	一切靠打	三天合区,长期稳定.一只BOSS就起飞-推荐	▊绝无隐藏暗
魔刹沉默	http://111.223.12.108:16888	一区	1768905000	赞助免费领	一区-推荐	一区
╲苍穹风云╱	http://cangqiong88.top:52527	╋首战首区╋	1768905000	█沙奖微信红苞█	███白嫖你就是王者█第一神器单职业██-推荐	█简单、粗暴
召．个．宝．宝	http://www.sngug-1586rfkvvv.top:2361/	横．扫．全．服	1768905000	宝宝〝很牛逼〝	．野外抓宠．宝宝比人猛．ＳＳＳＳ神器．-推荐	◆微变中变◆
１．７６启元复古	http://www.09tianqi.top	█+6小极品█	1768905000	█三天合区█	█一切靠打╲╱启元小极品╲╱散人天堂█-推荐	首战首区
暴雪沉默	http://45.251.9.109:1611/	复古微变	1768905000	单职业	专属内丹神器天命-推荐	首战一区
囍马沉默	http://www.27hf.xyz:31011	首站一区	1768905000	〔　你未玩过　〕	(﹍﹍﹍﹍﹍﹍﹍﹍新出炉﹍﹍﹍﹍﹍﹍﹍﹍)-推荐	马年吉祥
林鸿	http://43.240.157.38:8888	三职业	1768905000	独家	·长期耐玩·装备靠打·持续化更新·-推荐	公平公正
７６合击	https://www.pdd165.top:39165/index78.htm	██4 O顶赞█	1768905000	█上班免费挂满级	·　专　　为　　散　　人　　全　　爆　·-推荐	555722065裙
◆１８０恶魔火龙	http://www.fc06.asia:1011/	攻速神器◆一区	1768905000	沙保底９９９＋	无暗坑无赞助无沙捐★秒杀微变冰雪复古-推荐	半包烟爽一年
╲独家版复古迷失	http://www.bhmswan1075.top:3375	小属性倍攻神器╱	1768905000	╲免费会员沙捐╱	╲装备值钱丶一切靠打丶上线ＰＫ丶超丝滑╱-推荐	╲〇充通关╱
１．７６金币复古	https://103.192.209.180:5888/	赞助可打	1768905000	「小极品+6 」	█复古◆怀旧◆简单◆三天拿沙◆可玩一年█-推荐	█首战首区█
█１丶７６复古	http://hdfhgh.jkdfgh.top:10108/	１７６丶首区	1768905000	█自动捡物█	█散人好混█白虎切割█道士变态█终极狂爆-推荐	█年度首区█
１.８０云轩合击	http://www.80pkpk.com:82/	★●真30全满█	1768905000	◆星王✚2◆	◆免费拾取◆免费回收◆刀刀绿毒◆货币保值-推荐	█独家巨作█
██８０破晓合击	https://www.poxiao8.top:3688	██超级保值██	1768905000	█装备保值█	█全新版本█首战首区█元宝保值█散人追梦-推荐	█正版双授权
星殒沉默	http://103.219.178.179:2026	一区	1768905000	一区	〔独家探索〕〔全新版本〕〔上线送刀刀切割-推荐	一区
战魂微变	http://zhwb.669hf.com/	一切靠打●单职业	1768905000	低消费高体验	货币好打◆散人好混◆脸白终极-推荐	火龙迷失沉默
█８０三胖合击█	https://tttt.xcxsa1.asia:20251/	首区●切割●倍攻	1768905000	█双倍属姓合击█	▇▆▅▃▂全网最好玩的合击▂▃▅▆▇-推荐	群902240531
免．费．专．属	http://z.gov.cn.986u63123612v3.fun:38616/	打．野．通．关	1768905000	１区〝〝怪爆充值	【０充】顶赞　【０充】全满【０充】无套路-推荐	首区．全靠打
﹍﹍180金币合击	https://azf.oss-cn-beijing.aliyuncs.com	﹍﹍全新首战﹍﹍	1768905000	搬砖赚﹍元寶保值	小极品﹍散人服﹍主打BOSS﹍教主爆一切-推荐	76合击复古合
▇戦龍合击+2▇	http://www.zhanlong.xin:168	▅▇首战首区▇▅	1768905000	█20满号█	█赞助狂爆█没有合成█全部靠打█永久保值-推荐	打金必赚
新．７６攻速微变	http://slt.yssl782.top:28010	赞助会员．免费送	1768905000	⒈个boss原地起飞	（一切靠打）（不用充值）（全部看脸）-推荐	７６８０８５
寒冰微变	http://www.8021hb.top:3088/	首站·一区	1768905000	公益★单职业	━━━绝杀微变★打死一只怪★直接起飞━━-推荐	━━充值好打
１·８０战神终极	https://103.40.15.227:26012	７６复古白嫖养老	1768905000	▊小怪爆充值▊	▊顶赞５０▊全图不限制挂机▊自动拾取▊-推荐	▊物价保值▊
打天下	http://45.248.9.55:52168	一区[剧情]	1768905000	复古沉默专属神器	-　　　　　版本可玩一年不腻　　　　　--推荐	全靠打
１．７６神龙毁灭	http://slc.yssl782.top:28110	０充版．复古微变	1768905000	赞助会员．免费送	━０冲进全图━小怪爆充值━免费玩毕业━-推荐	７６８０８５
